Month,Average Angle
02,83.32791327913279
02,111.14177215189873
02,99.1875
02,94.0144578313253
02,49.47715736040609
02,45.04651162790697
02,57.88405797101449
02,122.20654911838791
02,87.17808219178082
02,89.0675
02,91.44918032786886
02,95.26884779516358
02,76.31233595800525
02,61.2037037037037
02,66.33144912641316
02,64.09656652360515
02,67.08614232209737
02,67.02197092084006
02,67.02197092084006
02,63.61879080329265
02,63.61879080329265
02,64.6004061944656
02,64.6004061944656
02,66.72359963269054
02,67.79983284580025
02,68.8006993006993
02,65.60039689698719
